ticker,business_id
FCNCA,92812b725ec7e05d5b7e312d7ac9c673
LNT,cafe1b12d45bbffa031f4ef19280ab52
LEN,cc4c87d67c810d57e1a332cb12fdad46
INVH,875fc2355bf0063638f407e6631afbab
NVR,574cdbbbe4c0155fb026c1b2cb5aafa6
BBY,5227b6aaf294f5f027273aebf16015f2
FDXF,158fc2ddd52ec2cf54d3c161f2dd6517
GEN,b3ce3cf51a1b2caf7ce4097a089f5fa7
ARMK,f5b1b89d98b7286673128a5fb112cb9a
SWK,a4c539a9ff207e2e4ad2473683ea97ae
TRU,c96c08f8bb7960e11a1239352a479053
PNFP,7b9226c896ac6346c8f2087125d65704
SN,c27eeb2fa04163cd8faa74645046d020
HST,33936698133cfff4e8303e4edb690110
MAA,e2b487acfcf3c141d90ab786a997e93a
TSN,026c057bceff44399fef0e2d2c53afce
MAS,c9bc734c0663a142b7bec265098f8dbf
EQH,7fdd3696740bf936f29ee8390b21bf19
SUI,aee16bea0870ada0c82453bfedc18b02
UNM,155c582b8ab2645a7fb1af6841262bfd
RL,e4acb4c86de9d2d9a41364f93951028d
RPM,45ada6bd046a60800e6526d31851ea0a
ALLE,a53acc04aac910c603dfd5fb42365e44
RKT,181cd6d78896a89c7c902b8930ee6d35
AIZ,096d3a817a272647f4ada2d6d733a8fb
DINO,7e979363130f1d1f7ff1f9fd4b64ee6e
RIVN,7f9a395a9d6c540b2f25c409c992732d
GL,0276e936e803c9d0dca6323c279c3798
TOL,b629262117de5d7281e973c96b55b2a7
FLUT,ab02629b07d191491da39dd2700754a3
MKC,a1000e4d3784ddc744f538acf99df602
TXRH,3ff35d5b17f95d78ffcf8e465f1b6019
HAS,4dc3ed26a29c9c3df3ec373524377a5b
SGI,79da5cede18a5c66c234e0e7189eee0c
LII,b8b6674d4052e35e4553ac6788eb30b5
CSGP,313f422ac583444ba6045cd122653b0e
FIVE,0a16b09784bae8287858faf95511a66e
GDDY,808e22af6c33eea22608f30cef458844
DECK,a661c28041b100e3187b142c4e5b3c9d
FOXA,dace79ecba31db9337eb06018f950028
DKS,f7e4dd6300aa79c1ba9425a76dcf26f5
SF,eeb358fcbf46e89566ad3fe0707820a0
CLX,d921b5f1255bc037363f4ef541bde33c
WBS,00c9f07b1f0782613ee5d3133d28cc01
FNF,ca1d3153a1cf0ed998d4879fbb50d9ab
LVS,9450e72d4ff1001fe411af5f8b21c16c
ECHO,a57d48399922b03419153a9760c5ce53
GNRC,a805e4d7fe9c62264963adc280161aa7
SJM,8eab914c88e95773ea769310350ad7cb
ALLY,7d6044e95a16761171b130dcb476a43e
OC,c7d0e7e2922845f3e1185d246d01365d
ELS,d569128be43725b0ba6a8caaaebc8fb4
DOCU,c5f453687c90109e1f24e56e728a5470
TKO,0c553a654fc6b63569ed742d34fc5cc9
FHN,5b1ab9a14445eba02811ee2b39583863
DKNG,b14c16c8ee6c5f5596c8c5ba495f9224
UDR,1dc7f3464a4839e6009992502eabb7a1
CHTR,cb3ce9b06932da6faaa7fc70d5b5d2f4
EHC,ab8c8ea63211cafe7233b656c43947fa
BJ,8ab9bb97ce35080338be74dc6375e0ed
PNW,8a94ed73a6730c2b006897d9f5376fcf
LULU,3fde502aa65e2ce159a2a255ac96f632
ALGN,9cd78264cf2cd821ba651485c111a29a
AMH,6e599a2690e47e8b7c0a5f710b567c7b
WTRG,421fbf884e61bd978d4d0af9661cd3db
IVZ,9b590b68204f2eff01c63a042d698838
BPOP,2fc6d604eaee5ed53e0883fb9ced981e
PINS,6aef8bf9a876275d71e1c610ef7c628a
SCI,b0288c1b9e12d4b57d46c3687ee3e305
ELAN,a716e0021b50d23bc2b8bf32f5acef64
ROL,0c0cfd9478c6551fbfe74a7acb6fc037
SEIC,a34e1ddbb4d329167f50992ba59fe45a
CPT,b141df819bb2c9232b37e62a7679f038
COKE,cabf1ca7cf12ab9ee1af7b60475587df
GFL,e0166a41c9613fd8e0684594149d06c0
WTFC,ca4ca9cdf1190e8892de9601d2939e0f
SSB,249a880f1ea4a8c5465d6feb257e9d47
NWSA,b6e584419a62da6229cf347e5ccfa166
PNR,b87daa9b6752c71a0ccc7649053ed699
ZION,08425b881bcde94a383cd258cea331be
MOH,a80ff02f8227904e65413f89ee1719e6
W,35e253435fd1f1506bc5b96e27aedf3e
DPZ,3e9f7c16bd1cdea78f8e2eea72dfdfbe
AES,5fb5faffa458440ddcc9d7a940af0409
PODD,bd38184ee56f9f286f9a4e649a740e42
ENSG,69ed1b5780df5434a2297d4f767e4b1f
AAL,9a5748a2fbaa6564d05d7f2ae29a9355
CFR,7d1465fa9e3d1f2e8d9f310b400c614e
NYT,70d5212dd052b2ef06e5e562f6f9ab9c
ORI,504776a820ff91766e0ab4e239d54ad1
PRI,1da546f25222c1ee710cf7e2f7a3ff0c
AFG,c02a29f0c97e3a3dc711177a8a75c523
MUSA,a81e4c93f260a358d59353ba0c3d2153
OGE,ff4d4032923165911e231b11159b9753
CUBE,3e1a626a9e0c39eb548886c253bf9644
AMG,17be204b5d1cc47c438d83fc0ccc0247
VOYA,f5b73f8ae4c885e2ecd4bf167c63cb35
COLB,63f6019ca436ea42e23a670f0bca5a8f
TTC,3016a447172f3045b65f5fc83e04b554
BEN,11338326597d14a1f7c745853f4d50a8
UHS,38d20dcd4d9c4ab1b6301e450851dea7
MTCH,0f64b5bc40f692ae0932bf7a0d4f9e42
WAL,adb5c5803d7b4060000dfbc22dd214f8
NCLH,75c649d237b5987a08b050cc34c96108
PB,4d2fcdd52cec2c8e7e9d14eb3ad33f78
KMX,33da43228447fdd518bd332110bbefe1
TIGO,4f20f7f5d2e7a1b640ebc8244428558c
LAD,4a6dd8e517e19aa1b2bc9814b8b7c2c7
CRBG,7ae9462e1e562b00e9e7067522c72bed
CHYM,773bf11798fd639e8dc4ff9070a8724c
MGM,d13047d5cbbe5d3f27674d9a6913cb9d
LNC,38087d90fe0083a5d17fef54ed2b3220
CBSH,d4832109dedf29b443ac0534c31bef75
WYNN,58ec67b36289075f93e95cc2fb8cea8a
UGI,da752027a518fdba9fcb5bd16621a59d
NFG,3347738c272f9b8284a991617bdb4e50
SFM,9db788bc42787732ef9957adef1145da
THG,2a10665525774fa2501c2c8c4985ce61
CART,6e235732a6ffa7e2dc45514964958856
OMF,44e749d1ba7af6d46d02bba06dab553f
GME,0e1418311a013ebb344e7fcf8d199cc3
IDA,2890f648b1437ef74f535212ce7787c3
ETSY,688f354100639413a99b136265aa5284
CAG,ba036d228858d76fb89189853a5503bd
LW,b877b4ac4b8f1501aaae576127369d2b
AOS,efdbf45bfc950fc5a2ac0e1511a354b8
CAVA,f5af75cddd6dcd88fbd1b06ef0b2a841
FAF,6e80f81cfb4f44c48c43beedabbae23c
HRL,de4994a3a1ec0331d2c59d37631a4776
H,2b6a8a34a8129b1b07e3f111c3e878af
HRB,54ebdfbbfe6c31c39aaba9a1ee83860a
ONON,c2be53718dbd58d9e9161f413cd43ac2
CHE,64c46b95a53d6e2272c5d0d567ee0d67
MHK,06976433498b040e68f7ca6d3c996f6b
FNB,7ca19b7d197358fa57e6b112f5339d65
MSGS,ea5e6ca8777b3b90a342449489c93432
LKQ,8e4879aaea2ff95607f4b7351842ba81
XP,90aa6a2c997f5f31f14fd7062cfa90d0
M,46a558d97954d0692411c861cf78ef79
TAP,d7c18718502a444a1a88227b0915de84
LYFT,b980fb7c038630b258bc5efe84d33078
CROX,e863fb23a124570677ebdd1933876020
FND,bfc15822b583d87ac2125388f35ec786
CZR,ef35613fc5fa4c4c512d552533f5e6f2
AS,de84f7f3acef3831cf69cf400918cf4e
PRMB,04221815070349c0923cd85e6957bfb3
BROS,95610e96ecd5fff90dda807598d1756d
Z,042886829869470b75f63dddfd7e9d9d
CHDN,30c6b5ab90f30666de1d112fb93d8c77
DVA,d5b3d8dadd770c460b1cde910a711987
VSNT,b2d3e3336113c4013c7151657049cd7c
FBIN,8c8504e30eb2b2aebb41bc24cadfa7ec
DUOL,8d2bd0ccb2f6f762fb19ac66fe09cd76
ALK,2322cdebdd316548126d7ffc388a362c
OZK,6ecb86114277359697f9c16b6ad1d6c4
DBX,5d705114c265135ff39930955a49fc05
ENPH,da6e4471c42deb7d5aff6a681aede3d4
WH,f8b98fff0e06af830aebadf79232fe74
NXST,dcca42e20da80862c1e34fa773619ea5
ELF,1dcaffd99eeb808cd8511d70856f7f83
SLM,75dc29f63a03439c9e00664cb6f2da75
VFC,d6a2be6d87d35c6d161fde16f21a5864
BC,af5baf594e9197b43c9f26f17b205e5b
CHWY,35be46aa9263402aa3915107a00bff4b
MTN,1bd2caf96a17d892c2c7e9959549cfc7
TREX,57396e515bf056889fdebab935df2a97
AN,1977b575ffa6d1708a5e3eb9ccd851cc
MIDD,5cdd58a34f83fc9c9d711c3ed0256135
LLYVK,eff9f344fdd9b97ea827134223f62586
SIRI,8f5e63cc00e87aeb8311fda7569d3c79
IRDM,d75320797f266ba9ed6dd6dc218cb1b5
GAP,08e6bea8e90ba87af3c9554d94db6579
JHX,7c6f8dba4a02404f97b5953d2c4172a7
OLLI,5bcbf903b02e959b739629bb57554e87
CPB,0dc914a07c387e5bb958efd294f17bba
FIGR,57776ea550a5f9634e583cf1576d399f
VVV,92dfa194391a59dc65b88b704599dbd6
TNL,437cd47c397255c658e07c71ad5f8749
JBS,4abd8aac9774b4169aa07c1b1799bf6e
MAT,89d4402dc03d3b7318bbac10203034ab
GSAT,791d3a0048b9c200dceca07f99ddd178
BYD,085774e529f8c6611741cdb352f364bc
MDU,46fc0f334e32b3082a14eb8c97effebb
ADT,1e5fe06531d4d338e29b50dbef5da88f
THO,7bfd175c23b6ab79fdd3ce53e874eda6
LBRDK,c08cd559f8a8e298dc79d0a2556d2424
ACI,3a92930b8f3003142bc5b8f3bf4446b4
LOPE,a0f748a04f35523840b84b7f35e9b299
MORN,8452a95c40e2b232acd9b8a8712935d7
PVH,28bbd522fee8ef2020ff5828be644942
PAG,f5b7ddd5d03ea42eb3cdafa867a325b8
DLB,bce9abf229ffd7e570818476ee5d7dde
BFAM,a10463df69e52e78372b724471434ec9
PLNT,08e4307ea4c13b31d0d64c211e1ef068
BFB,9773d3352e206fef3df91b8757d63b67
BBWI,16aac61bcd3d239962556dbf71e9aff6
YETI,887838ad12fa30cea255061127fdbb37
FHB,36222948d5ac949bd725f62f1d1bd796
BHF,f0157c2d06a84e955769089d348ca3a5
FRPT,078138acb1b36884ddb38e111c5f7dd1
POST,f87a7f6f3f907813be5bf697dab8e909
